# Test data for ascii data initial conditions.
# Only next line is parsed in format: [nlongitude] [ncolatitude] because of keyword "POINTS:"
# POINTS: 201 241
# Columns: longitude colatitude litho crust
0.261799 1.22173 100000	49360 33118 16871 3071.87988281 2887.57006836 2785.16992188
0.266163 1.22173 100000	49034 32885 16729 3069.30004883 2885.13989258 2782.82983398
0.270526 1.22173 100000	48720 32672.0019531 16617 3066.75 2882.75 2780.52001953
0.274889 1.22173 100000	48414 32475 16526 3064.2199707 2880.37011719 2778.2199707
0.279253 1.22173 100000	48049 32216 16376 3061.72998047 2878.0300293 2775.9699707
0.283616 1.22173 100000	47673 31944 16213 3059.25 2875.69995117 2773.7199707
0.287979 1.22173 100000	48200 32287 16374 3061.10009766 2877.42993164 2775.38989258
0.292343 1.22173 100000	49401 33090 16776 3066.16992188 2882.19995117 2779.98999023
0.296706 1.22173 100000	50603 33892 17178 3071.23999023 2886.9699707 2784.59008789
0.301069 1.22173 100000	50426 33739 17045 3063.36010742 2879.56005859 2777.43994141
0.305433 1.22173 100000	50338 33661 16980 3060 2876.39990234 2774.39990234
0.309796 1.22173 100000	50282 33618 16955 3060 2876.39990234 2774.39990234
0.314159 1.22173 100000	50227 33575 16929 3060 2876.39990234 2774.3996582
0.318523 1.22173 100000	50125 33508 16900 3060 2876.39990234 2774.39990234
0.322886 1.22173 100000	50067 33518 16977 3063.79003906 2879.95996094 2777.83007812
0.327249 1.22173 100000	50180 33670 17169 3071.20996094 2886.93994141 2784.56005859
0.331613 1.22173 100000	50293 33821 17360 3078.62988281 2893.90991211 2791.29003906
0.335976 1.22173 100000	50406 33973 17552 3086.04003906 2900.87988281 2798.01000977
0.340339 1.22173 100000	50361 34014 17680 3086.87011719 2901.65991211 2798.76000977
0.344703 1.22173 100000	50139 33926 17725 3080.5300293 2895.69995117 2793.01000977
0.349066 1.22173 100000	49917 33837 17769.9980469 3074.18994141 2889.73999023 2787.26000977
0.353429 1.22173 100000	49695 33749 17815 3067.85009766 2883.7800293 2781.51000977
0.357792 1.22173 100000	49360 33575 17799 3062.92993164 2879.15991211 2777.06005859
0.362156 1.22173 100000	48233 32817 17410 3050.15991211 2867.14990234 2765.46972656
0.366519 1.22173 100000	47106 32059 17021 3037.37988281 2855.13989258 2753.88989258
0.370882 1.22173 100000	45977.9960938 31300.9980469 16632 3024.60009766 2843.12988281 2742.31005859
0.375246 1.22173 100000	45029 30655.9980469 16293.0009766 3011.79003906 2831.08007812 2730.68994141
0.379609 1.22173 100000	44409 30226.0019531 16051.0009766 3000 2820 2720
0.383972 1.22173 100000	44392 30203.0019531 16022 3000 2820 2720
0.388336 1.22173 100000	44374 30179 15992 3000 2820 2720
0.392699 1.22173 100000	43904 29838 15780 2991.85009766 2812.34008789 2712.61010742
0.397062 1.22173 100000	42645 28942 15249 2969.4699707 2791.30004883 2692.32006836
0.401426 1.22173 100000	41920 28415 14922 2957.79003906 2780.33007812 2681.72998047
0.405789 1.22173 100000	41952 28412.9980469 14886 2961.2800293 2783.61010742 2684.89990234
0.410152 1.22173 100000	42317 28629 14953 2967.22998047 2789.18994141 2690.29003906
0.414516 1.22173 100000	43371 29296 15233 2978.25 2799.56005859 2700.2800293
0.418879 1.22173 100000	44425 29963 15513 2989.2800293 2809.91992188 2710.2800293
0.423242 1.22173 100000	43967 29594.9980469 15237 2977.0300293 2804.44995117 2704.75
0.427606 1.22173 100000	43335 29125 14926 2965.4699707 2798.9699707 2699.25
0.431969 1.22173 100000	43436 29191 14953 2973.40991211 2805.59008789 2705.66992188
0.436332 1.22173 100000	43538 29257 14980 2981.34008789 2812.19995117 2712.09008789
0.440696 1.22173 100000	43038 28906.9980469 14778 2977.62011719 2807.76000977 2707.84008789
0.445059 1.22173 100000	41287 27696 14105 2951.41992188 2782.04003906 2683.08007812
0.449422 1.22173 100000	40070 26864 13657 2940.93994141 2771.43994141 2672.87988281
0.453786 1.22173 100000	38852 26033 13209.9990234 2930.45996094 2760.84008789 2662.68994141
0.458149 1.22173 100000	37634 25202 12762 2919.97998047 2750.25 2652.49975586
0.462512 1.22173 100000	38940 26071 13191 2945.69995117 2773.94995117 2675.37988281
0.466876 1.22173 100000	40145 26882 13609 2967.66992188 2793.87011719 2694.62988281
0.471239 1.22173 100000	41349 27694 14027 2989.63989258 2813.79003906 2713.87011719
0.475602 1.22173 100000	42554 28505 14445 3011.61010742 2833.7199707 2733.12011719
0.479966 1.22173 100000	43024 28829 14623 3020.47998047 2844.65991211 2743.57006836
0.484329 1.22173 100000	42547 28522 14489 3013.58007812 2844.18994141 2742.87011719
0.488692 1.22173 100000	41895 28100 14301 3001.90991211 2841.34008789 2739.80004883
0.493056 1.22173 100000	41242 27679 14113 2990.22998047 2838.48999023 2736.7199707
0.497419 1.22173 100000	40590 27257 13925 2978.55004883 2835.63989258 2733.63989258
0.501782 1.22173 100000	40025.0039062 26884 13743 2967.01000977 2823.85009766 2722.31005859
0.506145 1.22173 100000	39454 26506 13559 2955.5 2812.58007812 2711.44995117
0.510509 1.22173 100000	38883 26129 13375 2943.97998047 2801.30004883 2700.60009766
0.514872 1.22173 100000	38312 25752 13191 2932.45996094 2790.0300293 2689.73999023
0.519235 1.22173 100000	37950 25512 13073 2923.29003906 2782.25 2682.20996094
0.523599 1.22173 100000	39114 26261 13406 2933.9699707 2793.30004883 2692.83007812
0.527962 1.22173 100000	40351 27057 13758 2945.87011719 2804.62988281 2703.75
0.532325 1.22173 100000	41588 27852 14110 2957.77001953 2815.95996094 2714.66992188
0.536689 1.22173 100000	42825 28647.9980469 14462 2969.66992188 2827.29003906 2725.59008789
0.541052 1.22173 100000	43726 29221 14704 2978.39990234 2835.60009766 2733.60009766
0.545415 1.22173 100000	42745 28547 14342 2969.14990234 2826.79003906 2725.11010742
0.549779 1.22173 100000	41524 27716 13904 2957.60009766 2815.80004883 2714.51000977
0.554142 1.22173 100000	40303 26884 13466 2946.05004883 2804.80004883 2703.90966797
0.558505 1.22173 100000	39083 26053 13028 2934.5 2793.80004883 2693.31005859
0.562869 1.22173 100000	37869 25231 12601 2922.90991211 2782.77001953 2682.66992188
0.567232 1.22173 100000	38477 25642 12816 2937.40991211 2796.57006836 2695.97998047
0.571595 1.22173 100000	39688 26459 13237 2960.62011719 2818.66992188 2717.2800293
0.575959 1.22173 100000	40899 27276 13659 2983.83007812 2840.77001953 2738.59008789
0.580322 1.22173 100000	42109 28094 14081 3007.04003906 2862.87011719 2759.88989258
0.584685 1.22173 100000	43313 28903 14493 3030.33007812 2885.04003906 2781.26000977
0.589049 1.22173 100000	43279 28872 14465 3040.9699707 2895.16992188 2791.02001953
0.593412 1.22173 100000	42776 28524 14273 3046.7199707 2900.64990234 2796.31005859
0.597775 1.22173 100000	42273 28177 14081 3052.47998047 2906.12988281 2801.59008789
0.602139 1.22173 100000	41771 27830 13890 3058.23999023 2911.61010742 2806.87988281
0.606502 1.22173 100000	41221 27451 13683 3059.29003906 2912.61010742 2807.84008789
0.610865 1.22173 100000	39564 26331 13100 3038.20019531 2892.54003906 2788.48999023
0.615229 1.22173 100000	37367 24849 12333 3009.22998047 2864.94995117 2761.89990234
0.619592 1.22173 100000	35169 23367 11566 2980.25 2837.37011719 2735.30004883
0.623955 1.22173 100000	32972 21884 10799 2951.2800293 2809.7800293 2708.70996094
0.628319 1.22173 100000	31243.0019531 20715 10188 2931.18994141 2790.65991211 2690.27001953
0.632682 1.22173 100000	28596.0019531 18896 9375 2944.86010742 2798.30004883 2693.09008789
0.637045 1.22173 100000	24909.9980469 16361 8278 2970.66992188 2814.16992188 2701
0.641409 1.22173 100000	21222.9980469 13824.9990234 7181 2996.48999023 2830.04003906 2708.91992188
0.645772 1.22173 100000	17537 11289.9980469 6085 3022.31005859 2845.90991211 2716.83007812
0.650135 1.22173 100000	14223 8893 5014 3033.84008789 2848.30004883 2711.85009766
0.654498 1.22173 100000	13444.0009766 8295.99902344 4856 3009.45996094 2821.98999023 2683.85009766
0.658862 1.22173 100000	13893 8731.99902344 5280.99951172 2979.39990234 2793.79003906 2657.0300293
0.663225 1.22173 100000	14342.0019531 9166.99902344 5705 2949.33007812 2765.60009766 2630.2199707
0.667588 1.22173 100000	14789.9980469 9602.99902344 6129.00048828 2919.26000977 2737.39990234 2603.40991211
0.671952 1.22173 100000	14616.9980469 9732.00097656 6460.00048828 2899.18994141 2718.58007812 2585.51000977
0.676315 1.22173 100000	13857.9990234 9537 6515.00048828 2899.19995117 2720.7800293 2587.60009766
0.680678 1.22173 100000	13775.9990234 9651.99902344 6552.00048828 2895.27001953 2720.68994141 2587.51000977
0.685042 1.22173 100000	13692.9990234 9765.99902344 6590.00048828 2891.33007812 2720.60009766 2587.41992188
0.689405 1.22173 100000	13610.0009766 9881 6627 2887.39990234 2720.5 2587.33007812
0.693768 1.22173 100000	14326.0009766 10504 6893.00048828 2894.02001953 2730.38989258 2596.73999023
0.698132 1.22173 100000	19651.0019531 13901.9990234 8269 2938.55004883 2772.06005859 2641.65991211
0.702495 1.22173 100000	26115.9980469 17942 9863 2986.32006836 2814.67993164 2690.2199707
0.706858 1.22173 100000	32580.9980469 21982 11457 3034.08007812 2857.29003906 2738.77001953
